timestamp,linear_x,linear_y,angular_z,Orientation_Quat_x,Orientation_Quat_y,Orientation_Quat_z,Orientation_Quat_w
7.139,0.00010879280266658459,1.718066936686025e-07,-7.856868269616576e-05,-7.195012902720098e-06,-0.001320594366093778,-1.2669240033507843e-06,0.9999991279881931
7.172,4.043064784611586e-05,-5.305233439423911e-06,-5.3768754856303865e-05,-2.069150236599314e-05,-0.000979657118619536,-2.1412768957838603e-06,0.9999995199194881
7.202,3.3115150116316585e-05,-8.768469060846721e-07,-7.103370434530925e-06,-2.8199013133465187e-05,-0.00019067880681377793,-2.4546701321417493e-06,0.9999999814201913
7.237,-7.318208825761785e-06,-1.986737852863562e-06,-2.4583660697818943e-05,-3.886869137490724e-05,0.0008741771351760731,-2.8802811473396167e-06,0.9999996171475594
7.27,-1.4824102434002452e-05,-5.42047384760591e-07,-1.4513512946761025e-06,-4.9047003111747e-05,0.0019947889175113095,-3.009545754164148e-06,0.9999980091992727
7.304,-2.252309493460981e-05,-1.506364506793295e-07,5.798416544322207e-06,-5.9197012268658714e-05,0.0031141818756400667,-2.9227526767163007e-06,0.9999951491674431
7.342,0.00022372165575122144,0.0005237438013900389,-0.0006801239292294115,-7.838985791905454e-06,0.003935039789870625,-7.4608809823684405e-06,0.9999922576423969
7.37,4.640555528742436e-07,4.996548100906675e-06,8.102091468869507e-05,-7.235563829103219e-06,0.0038614530128794813,-1.4170701750196037e-05,0.9999925444359409
7.404,-2.5591733984988345e-06,1.7266766644365006e-05,0.00026591892208389673,-7.296293564274475e-06,0.0038607293465510177,-1.1484110247412952e-05,0.9999925472641246
7.437,-3.1245878057716058e-06,2.1167657549701902e-05,0.000324411046747876,-7.363509325029527e-06,0.003860632490385883,-6.65903160424405e-06,0.9999925476813366
7.469,-3.2662494158915496e-06,2.2119858336538946e-05,0.0003386478297102239,-7.401002732795363e-06,0.0038606022839580414,-1.4779617958624495e-06,0.9999925478187554
7.503,-3.3054118951472573e-06,2.238320375938809e-05,0.00034258683482394096,-7.43007243234273e-06,0.003860594301360545,3.8328444923624666e-06,0.9999925478431044
7.546,-3.316513491833465e-06,2.2457473716780533e-05,0.0003436994249178781,-7.457242813267193e-06,0.003860592264200451,9.341774554524383e-06,0.9999925478144777
7.57,-3.3195714082168942e-06,2.2477559854811872e-05,0.0003440019742572464,-7.482558925812908e-06,0.00386059192585845,1.4698659508861455e-05,0.9999925477512034
7.602,-3.3205728215801706e-06,2.248378911200491e-05,0.0003440974003558957,-7.507305526278066e-06,0.0038605920264695023,2.0058369632440504e-05,0.999992547657485
7.6370000000000005,-3.321017820302633e-06,2.248625328483194e-05,0.00034413663528356885,-7.5323664652061355e-06,0.0038605922575272425,2.5581473402771354e-05,0.9999925475303668
7.6690000000000005,-3.321294789396653e-06,2.2487600746687734e-05,0.0003441591267630635,-7.556334212255646e-06,0.003860592517331422,3.094255844221038e-05,0.9999925473776667
7.704,-3.32153038892931e-06,2.248866923180709e-05,0.0003441774665314876,-7.579990755307022e-06,0.003860592788326439,3.630392197064843e-05,0.9999925471961738
7.745,-3.3217612486761565e-06,2.2489689827692663e-05,0.00034419517995288424,-7.6040705396906365e-06,0.003860593072349268,4.1828002627275e-05,0.9999925469790893
7.77,-3.3219821075215124e-06,2.2490658564167382e-05,0.00034421206160948665,-7.627183728575438e-06,0.0038605933507193844,4.718984391849847e-05,0.9999925467391871
